"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
9321,"2AZ4","small_airport","Millar Airport",33.0536994934082,-112.146003723145,1215,"NA","US","US-AZ","Maricopa","no","2AZ4",,"2AZ4",,,
9322,"2AZ5","small_airport","Donnelly Residence Airport",32.8863983154297,-112.129997253418,1518,"NA","US","US-AZ","Maricopa","no","2AZ5",,"2AZ5",,,
9323,"2AZ6","heliport","Horizon Heliport",32.410400390625,-110.942001342773,2573,"NA","US","US-AZ","Oro Valley","no","2AZ6",,"2AZ6",,,
9324,"2AZ7","small_airport","Mc Gill's Ultralight Field",33.6842002869,-112.164001465,1360,"NA","US","US-AZ","Phoenix","no","2AZ7",,"2AZ7",,,
9325,"2AZ8","small_airport","Tubac Ultralight Flightpark Ultralightport",31.6145000457764,-111.036003112793,3200,"NA","US","US-AZ","Tubac","no","2AZ8",,"2AZ8",,,
9326,"2AZ9","small_airport","Tribal Air Airport",31.6023006439209,-109.651000976562,4200,"NA","US","US-AZ","Mcneal","no","2AZ9",,"2AZ9",,,
9327,"2B1","small_airport","Cape Cod Airport",41.6852989196777,-70.4022979736328,103,"NA","US","US-MA","Marston Mills","no","2B1",,"2B1",,,
9328,"2B2","small_airport","Plum Island Airport",42.7958984375,-70.8412017822266,11,"NA","US","US-MA","Newburyport","no","2B2",,"2B2",,,
9329,"2B6","small_airport","Hollister Field",39.4375991821289,-83.7082977294922,1090,"NA","US","US-OH","Wilmington","no","2B6",,"2B6",,,
9330,"2B9","small_airport","Post Mills Airport",43.8842010498,-72.2537002563,693,"NA","US","US-VT","Post Mills","no","2B9",,"2B9",,"http://en.wikipedia.org/wiki/Post_Mills_Airport",
9331,"2C4","small_airport","Flying A Airport",43.8196983337402,-92.3335037231445,1300,"NA","US","US-MN","Chatfield","no","2C4",,"2C4",,,
9332,"2C5","small_airport","Almena Airport",42.252498626709,-85.8503036499023,740,"NA","US","US-MI","Paw Paw","no","2C5",,"2C5",,,
9333,"2C6","small_airport","Tri-County Airport",40.773998260498,-90.0744018554688,661,"NA","US","US-IL","Yates City","no","2C6",,"2C6",,,
9335,"2CA0","heliport","Ash Mountain Heliport",36.4958000183105,-118.833999633789,1820,"NA","US","US-CA","Three Rivers","no","2CA0",,"2CA0",,,
9336,"2CA1","heliport","Cosmodyne Heliport",33.8436012268066,-118.339996337891,128,"NA","US","US-CA","Torrance","no","2CA1",,"2CA1",,,
9337,"2CA2","small_airport","Cones Field",34.1627998352051,-116.047996520996,1800,"NA","US","US-CA","Twentynine Palms","no","2CA2",,"2CA2",,,
9338,"2CA3","small_airport","Crosswinds Airport",34.1599998474121,-115.997001647949,1835,"NA","US","US-CA","Twentynine Palms","no","2CA3",,"2CA3",,,
9339,"2CA4","small_airport","Blackinton Airport",33.2588996887207,-117.092002868652,1156,"NA","US","US-CA","Valley Center","no","2CA4",,"2CA4",,,
9340,"2CA5","heliport","Platform Emmy Heliport",33.6623001098633,-118.044998168945,87,"NA","US","US-CA","Huntington Beach","no","2CA5",,"2CA5",,,
9341,"2CA6","heliport","K & T 660 Figueroa Partners Heliport",34.0491981506348,-118.259002685547,629,"NA","US","US-CA","Los Angeles","no","2CA6",,"2CA6",,,
9342,"2CA7","heliport","Prudential Helistop",34.1755981445312,-118.595001220703,847,"NA","US","US-CA","Woodland Hills","no","2CA7",,"2CA7",,,
9343,"2CA8","small_airport","B & E Ranch Airport",34.4206008911133,-116.611000061035,2793,"NA","US","US-CA","Yucca Valley","no","2CA8",,"2CA8",,,
9344,"2CA9","heliport","Castle Dome Army Heliport",33.0167007446289,-114.266998291016,850,"NA","US","US-AZ","Yuma Proving Ground(Yuma)","no","2CA9",,"2CA9",,,
45326,"2CD2","heliport","Medical Center Of The Rockies Heliport",40.418056,-105,5010,"NA","US","US-CO","Loveland","no","2CD2",,"2CD2",,,
45320,"2CD3","small_airport","Bijou Springs Ranch Airport",39.119472,-104.431806,6600,"NA","US","US-CO","Peyton","no","2CD3",,"2CD3",,,
45333,"2CD4","heliport","West Divide Heliport",39.430556,-107.623056,6352,"NA","US","US-CO","Silt","no","2CD4",,"2CD4",,,
45323,"2CD5","heliport","Elk Mountain Resort Heliport",38.253333,-107.972222,8965,"NA","US","US-CO","M0Ntrose","no","2CD5",,"2CD5",,,
45329,"2CD6","small_airport","Safer Airport",39.39485,-104.547033,6510,"NA","US","US-CO","Elizabeth","no","2CD6",,"2CD6",,,
45332,"2CD7","heliport","Turnberry Ranch Heliport",39.469083,-107.135722,7100,"NA","US","US-CO","Carbondale","no","2CD7",,"2CD7",,,
45321,"2CD8","heliport","Children'S Hospital Heliport",39.742111,-104.83575,5557,"NA","US","US-CO","Aurora","no","2CD8",,"2CD8",,,
45335,"2CD9","small_airport","Kellogg Airstrip",40.6814,-105.13855,5180,"NA","US","US-CO","Laporte","no","2CD9",,"2CD9",,,
